"Property_ID","Label_EN","LABEL_IT"
"P1036","Dewey Decimal Classification","Classificazione Decimale Dewey"
"P18","image","immagine"
"P17","country","paese"
"P131","located in the administrative territorial entity","unità amministrativa in cui è situato"
"P190","sister city","città gemella"
"P41","flag image","bandiera"
"P94","coat of arms image","stemma"
"P373","Commons category","categoria su Commons"
"P31","instance of","istanza di"
"P625","coordinate location","coordinate geografiche"
"P635","ISTAT ID","codice ISTAT"
"P47","shares border with","confina con"
"P473","local dialing code","prefisso telefonico"
"P806","Italian cadastre code","codice catastale italiano"
"P421","located in time zone","fuso orario"
"P6","head of government","capo del governo"
"P281","postal code","codice postale"
"P242","locator map image","mappa di localizzazione"
"P910","topic's main category","categoria principale dell'argomento"
"P948","Wikivoyage banner","banner per Wikivoyage"
"P856","official website","sito web ufficiale"
"P998","dmoz ID","dmoz"
"P935","Commons gallery","galleria su Commons"
"P982","MusicBrainz area ID","identificativo area MusicBrainz"
"P349","NDL ID","identificativo NDL"
"P646","Freebase ID","identificativo Freebase"
"P227","GND ID","identificativo GND"
"P898","IPA transcription","IPA"
"P417","patron saint","santo patrono"
"P1464","category for people born here","categoria per le persone nate in questo luogo"
"P1465","category for people who died here","categoria per le persone morte in questo luogo"
"P1566","GeoNames ID","identificativo GeoNames"
"P1740","category for films shot at this location","categoria di film girati in questo luogo"
"P1792","category of associated people","categoria di persone associate"
"P1343","described by source","descritto nella fonte"
"P1376","capital of","capitale di/capoluogo di"
"P214","VIAF ID","identificativo VIAF"
"P443","pronunciation audio","pronuncia (file audio)"
"P2044","elevation above sea level","altezza sul mare"
"P1997","Facebook Places ID","identificativo di luogo Facebook"
"P460","said to be the same as","considerato essere uguale a"
"P1791","category of people buried here","categoria persone che riposano in pace qui"
"P150","contains administrative territorial entities","sottodivisioni amministrative"
"P163","flag","descrizione della bandiera"
"P402","OpenStreetMap Relation identifier","ID relazione OpenStreetMap"
"P902","HDS ID","DSS"
"P1082","population","popolazione"
"P268","BnF ID","identificativo BNF"
"P269","SUDOC authorities","identificativo SUDOC"
"P2046","area","superficie"
"P244","LCAuth ID","identificativo LCNAF"
"P1549","demonym","nome abitanti/e"
"P2013","Facebook ID","nome utente Facebook"
"P2002","Twitter username","nome utente Twitter"
"P1937","UN/LOCODE","UN/LOCODE"
"P1842","Global Anabaptist Mennonite Encyclopedia Online ID",
"P1936","Digital Atlas of the Roman Empire ID","ID Digital Atlas of the Roman Empire"
"P886","LIR","LIR"
"P949","National Library of Israel ID","identificativo NLI"
"P361","part of","parte di"
"P138","named after","prende il nome da"
"P1417","Encyclopædia Britannica Online ID","identificativo Encyclopædia Britannica Online"
"P1296","Gran Enciclopèdia Catalana ID","identificativo Gran Enciclopèdia Catalana"
"P527","has part","consiste di"
"P30","continent","continente"
"P1151","topic's main Wikimedia portal","portale principale"
"P1448","official name","nome ufficiale"
"P112","founder","fondatore"
"P571","inception","data di fondazione/creazione/costruzione"
"P213","ISNI","identificativo ISNI"
"P2054","density","massa volumica"
"P2596","culture","cultura"
"P1667","TGN ID","identificativo TGN"
"P206","located next to body of water","situato sul lago / fiume"
"P691","NKCR AUT ID","identificativo NKC"
"P237","coat of arms","descrizione dello stemma"
"P1621","detail map","mappa dettagliata"
